ID	logFC	AveExpr	adj.P.Val
DN38648_c0_g1	-1.65730005	2.123582318	1.27e-09
DN38654_c0_g1	1.565215894	-2.784251131	0.005312097
DN38660_c0_g1	-1.150056826	-1.516712079	0.005947742
DN38662_c0_g1	3.115605502	3.862315945	1.1e-13
DN38664_c0_g1	1.443771716	-3.431743326	0.004194365
DN38676_c0_g1	-1.089261242	-1.334024161	0.001450297
DN38712_c0_g1	1.490497043	-1.289030037	0.00106911
DN38731_c0_g1	-1.748524953	2.511017739	2.45e-09
DN38773_c0_g1	3.188831097	-1.00550659	3e-14
DN38792_c0_g1	-1.573059778	2.279648204	2.24e-06
DN38816_c0_g1	-3.071946655	1.125248522	1.13e-14
DN38826_c0_g1	1.512188677	5.01071345	9.13e-13
DN38857_c0_g1	1.253205586	4.595627756	1.39e-14
DN38864_c1_g1	1.31901829	-3.629814457	0.009981634
DN38872_c0_g1	-1.367016698	1.822055197	1.54e-14
DN38881_c0_g1	1.117511311	-1.133185869	0.000274529
DN38904_c0_g1	1.368759877	-3.789316425	0.001068545
DN38920_c0_g1	-6.056152396	3.605842942	2.89e-11
DN38920_c0_g2	-5.229118186	3.129395095	8.52e-09
DN38923_c0_g1	1.662987715	1.218240866	7.52e-13
DN38936_c0_g1	-1.104814829	2.681877219	8.24e-09
DN38972_c0_g1	-1.683417852	-0.438108336	2.81e-08
DN38977_c0_g1	1.503272535	-0.118932328	1.72e-07
DN3905_c0_g2	3.783417462	-2.558490219	1.35e-12
DN39072_c0_g1	-4.280814213	1.16291729	1.22e-15
DN39139_c0_g1	2.118556955	1.614692089	1.14e-08
DN39147_c0_g1	3.005232185	0.578868081	1.16e-14
DN39148_c0_g1	-1.01148529	1.514666579	2.8e-06
DN39179_c0_g1	-1.041163212	-1.263962471	0.00307436
DN39192_c0_g1	2.708744308	2.926606039	7.8e-13
DN39212_c0_g1	-3.255164435	2.752379042	4.39e-21
DN39241_c0_g1	1.117164471	1.397323247	0.000342249
DN39241_c1_g2	1.276011626	-2.530475227	0.000582156
DN39246_c0_g1	-2.140328349	-2.964395861	4.66e-05
DN39247_c0_g2	2.401036233	-2.128596098	5.4e-07
DN39250_c0_g1	-1.984269716	3.41322329	4.04e-13
DN39264_c0_g1	3.348079551	-0.255745709	9.87e-16
DN39268_c1_g1	2.179693111	-0.966990746	1.29e-09
DN39315_c0_g1	1.186406191	-0.24931043	1.06e-06
DN39324_c0_g1	1.440666837	5.330449422	9.31e-05
DN39333_c0_g1	-1.566546273	-1.505681404	2.1e-05
DN39338_c0_g1	1.184089299	0.321146974	2.05e-09
DN39352_c0_g1	2.172301493	-1.223632239	1.12e-07
DN39356_c0_g2	-1.083235225	1.364480031	3.31e-05
DN39436_c0_g1	-1.812761735	0.470025676	0.000387457
DN39540_c0_g1	2.452736268	-1.547483475	2.17e-09
DN39542_c0_g1	-1.245285803	-1.101635874	6.48e-05
DN39634_c0_g2	-1.320359285	-3.327147706	0.001947472
DN39644_c0_g1	-1.069709185	0.377697038	6.08e-05
DN39663_c0_g1	-2.113528891	1.557858778	8.02e-08
DN39665_c0_g1	1.138164692	-1.384890806	0.001689071
DN39680_c0_g1	3.685533015	2.547661367	6.28e-15
DN39686_c0_g1	-1.012867969	-0.995837456	0.001620072
DN39713_c0_g1	-2.972359443	-2.231104401	8.03e-06
DN3972_c0_g1	4.073040391	2.231813777	4.1e-18
DN3972_c0_g2	4.247179684	-0.028920146	4.43e-10
DN39774_c0_g1	1.007938604	1.761163475	1.54e-05
DN39777_c0_g1	1.290507336	-1.651816189	0.001409631
DN39777_c0_g2	2.076358858	-0.828720907	8.78e-09
DN39793_c0_g1	-1.20195025	1.206754601	2.26e-06
DN39813_c0_g1	3.434232717	1.583725254	1.6e-21
DN39844_c0_g1	2.017633614	6.970266136	7.27e-09
DN39887_c0_g1	-3.417355205	4.57118344	1.82e-25
DN39892_c0_g1	-2.657643929	-0.240099951	5.43e-08
DN39911_c0_g1	-2.167164577	0.966066658	9.51e-14
DN39928_c0_g1	-1.193003985	3.536080725	3.6e-12
DN39937_c0_g1	-1.416967276	-1.500888723	0.000117055
DN39945_c0_g2	2.925369841	-3.127838094	4.01e-10
DN39953_c0_g1	2.093009119	6.785005468	1.02e-19
DN39969_c0_g1	-1.213509783	2.181827575	5.45e-12
DN39972_c0_g1	1.394178804	-2.249729256	0.003997713
DN39976_c0_g1	1.354519817	0.862643466	7.95e-07
DN39985_c0_g1	1.720835995	0.207874977	6.58e-09
DN40001_c0_g1	3.795669765	-0.412973905	2.29e-10
DN40017_c0_g1	-1.482623433	6.31918892	2.76e-14
DN40036_c0_g1	-1.101079694	3.000642313	1.53e-13
DN40053_c0_g1	3.777259526	-2.789359375	4.47e-13
DN40090_c0_g1	-1.490655855	-0.06105904	2.15e-06
DN40100_c0_g1	1.084454879	1.296395793	1.96e-08
DN40103_c0_g2	-2.756844785	0.098169783	1.39e-09
DN40111_c0_g2	-1.668147807	0.972645559	6.84e-12
DN40112_c0_g1	-3.996607243	-0.786074833	9.38e-12
DN40152_c0_g1	NA	NA	NA
DN40166_c0_g1	-3.009617021	3.476050927	5.04e-22
DN40186_c0_g1	-1.194458789	4.271511018	6.98e-17
DN40210_c0_g1	-1.284560917	1.398061035	5.27e-07
DN40213_c0_g1	1.721058522	3.134618652	1.92e-15
DN40214_c0_g1	-2.59991086	1.174755152	3.93e-15
DN40228_c0_g1	-1.098120633	2.366650571	1.62e-14
DN40248_c0_g1	2.561333614	0.152219456	1.26e-15
DN40258_c0_g1	-3.768633953	3.104720052	4.47e-17
DN40272_c0_g1	1.725797273	1.136026409	2.12e-13
DN40279_c0_g1	1.745494196	1.713692819	2.69e-17
DN40282_c0_g1	-1.665484947	-0.755415515	1.45e-08
DN40316_c0_g1	-1.056839153	-1.791191459	0.001293002
DN40338_c0_g1	-1.450225098	-0.413291596	1.65e-07
DN40345_c0_g1	-3.066541062	1.76403788	2.65e-09
DN40345_c0_g2	-1.602850393	-2.964930776	0.001381749
DN40407_c0_g3	-1.420245775	-1.886055247	0.000395384
DN40425_c0_g1	-1.132251869	0.629232508	3.82e-07
DN40448_c0_g1	-1.452206658	3.319212937	2.37e-16
DN40449_c0_g1	1.467750542	-3.626325341	0.000538219
DN40469_c0_g1	3.96999111	0.586352876	1.48e-14
DN40482_c0_g1	-1.729932348	-3.517508101	0.000406443
DN40482_c1_g1	-1.431333689	-3.546579415	0.001280191
DN40488_c0_g1	1.21466449	-1.586432084	2.18e-05
DN40501_c0_g1	2.721420082	2.4618748	8.5e-09
DN40515_c0_g1	-2.831957926	0.569059889	5.2e-09
DN40547_c0_g1	-1.845554863	2.687889142	2.6e-16
DN40566_c0_g1	-1.088313839	-1.148912959	0.000760692
DN40585_c0_g1	-1.100914423	3.040744448	1.26e-11
DN40591_c2_g1	-1.639756502	-0.431492257	1.22e-07
DN40604_c0_g1	2.287041289	1.535892916	1.58e-12
DN40634_c0_g1	NA	NA	NA
DN40644_c1_g1	1.230042004	-0.929371009	0.003687864
DN40675_c0_g1	1.179381524	-0.186763154	6.32e-06
DN40683_c0_g1	-3.523884913	4.128171731	2.6e-27
DN40705_c0_g1	2.565933616	-0.971756235	5.95e-11
DN40751_c0_g1	-1.462740381	-2.301333638	0.000330291
DN40767_c0_g1	1.117269162	5.518869528	1.2e-16
DN40779_c0_g1	-2.024342413	1.914917017	5.61e-09
DN40788_c0_g1	1.042367894	0.02433655	0.00021557
DN40799_c0_g1	2.478383731	1.617895558	9.91e-11
DN40799_c1_g1	2.606986112	1.202198546	4.77e-10
DN40806_c0_g1	1.838355199	3.854641243	3.67e-17
DN40815_c0_g1	2.102652628	0.356130192	3.06e-07
DN40843_c0_g1	-2.048725612	0.285394118	4.85e-06
DN40847_c0_g1	1.517241263	0.678424598	0.000429176
DN40863_c0_g1	1.461376593	-0.252959527	1e-06
DN40890_c0_g1	-2.287568922	-0.81047072	1.51e-09
DN40913_c0_g1	-1.954203466	-1.303142714	1.5e-06
DN40918_c0_g1	1.488871685	2.41969609	4.19e-06
